Comment,Designator,Footprint,Quantity,HelpURL,Manufacturer,Mfr.Part,Value

"SMD7525-16Ohm","BUZ1","BUZZER_SMD_7.5X7.5MM","1","https://www.lcsc.com/product-detail/C49246950.html","XHXDZ","SMD7525-16?","Buzzer"
"Ceramic capacitor, 0,1?, X7R, ±10%, 16V, 0402","C1, C9, C11, C14, C22, C24, C28, C30, C31, C33, C34, C36, C37, C38, C39, C40, C41, C42, C43, C46, C47, C50, C51, C52, C55, C57, C58, C59, C62, C64, C65, C67, C69, C71, C73, C75, C80, C82, C83, C84, C87, C89, C94, C96, C112, C113, C116, C118, C119, C121, C124","Capacitor_0402","51","","","","0,1?"
"Ceramic capacitor, 1?, X7R, ±10%, 16V, 0402","C2, C15, C48, C49, C88, C93, C95, C104, C106, C114, C123","Capacitor_0402","11","","","","1?"
"Ceramic capacitor, 100?, X7R, ±10%, 50V, 1206","C3, C5, C6, C8, C12, C13, C16, C18, C19, C21, C25, C26","Capacitor_1206","12","","","","100?"
"Ceramic capacitor, 1000, X7R, ±10%, 16V, 0402","C4, C17, C103","Capacitor_0402","3","","","","1000"
"Ceramic capacitor, 43, X7R, ±10%, 16V, 0402","C7, C20","Capacitor_0402","2","","","","43"
"Ceramic capacitor, 8200, X7R, ±10%, 16V, 0402","C10, C23","Capacitor_0402","2","","","","8200"
"Ceramic capacitor, 4,7?, X7R, ±10%, 16V, 0402","C27, C44, C45, C53, C54, C56, C61, C63, C66, C68, C70, C72, C74, C79, C81, C115, C117, C120, C122","Capacitor_0402","19","","","","4,7?"
"Ceramic capacitor, 10?, X7R, ±10%, 16V, 0402","C29, C60, C76, C77, C78, C90, C97","Capacitor_0402","7","","","","10?"
"Ceramic capacitor, 22?, X7R, ±10%, 16V, 0402","C32, C35","Capacitor_0402","2","","","","22?"
"Ceramic capacitor, 15, X7R, ±10%, 16V, 0402","C85, C86, C102","Capacitor_0402","3","","","","15"
"Ceramic capacitor, 0,01?, X7R, ±10%, 16V, 0402","C91, C92, C98, C99, C105","Capacitor_0402","5","","","","0,01?"
"Ceramic capacitor, 1.5, X7R, ±10%, 16V, 0402","C100","Capacitor_0402","1","","","","1,5"
"Ceramic capacitor, 1, X7R, ±10%, 16V, 0402","C101","Capacitor_0402","1","","","","1"
"Ceramic capacitor, 2200, X7R, ±10%, 16V, 0402","C107","Capacitor_0402","1","","","","2200"
"Ceramic capacitor, 4.7, X7R, ±10%, 16V, 0402","C108","Capacitor_0402","1","","","","4,7"
"Ceramic capacitor, 0,033?, X7R, ±10%, 16V, 0402","C109","Capacitor_0402","1","","","","0,033?"
"Ceramic capacitor, 22, X7R, ±10%, 16V, 0402","C110, C111","Capacitor_0402","2","","","","22"
"TPS61088","D1, D2","TPS61088","2","https://www.lcsc.com/product-detail/C87357.html","Texas Instruments","TPS61088RHLR","TPS61088"
"INA3221","D3","QFN16_4x4mm","1","https://www.lcsc.com/product-detail/C181255.html","Texas Instruments","INA3221AIRGVR","INA3221"
"HPM6754IVM2","D4","HPM6754IVM2_BGA-289_14x14mm","1","https://www.lcsc.com/product-detail/C49451874.html","HPMICRO","HPM6754IVM2","HPM6754IVM2"
"USBLC6-2P6","D5","SOT-666","1","https://www.lcsc.com/product-detail/C15999.html","STMicroelectronics","USBLC6-2P6","USBLC6-2P6"
"TP4057","D6","SOT23-6","1","https://www.lcsc.com/product-detail/C20606861.html","JSMSEMI","TP4057","TP4057"
"DW01A","D7","SOT23-6","1","https://www.lcsc.com/product-detail/C39846919.html","JSMSEMI","DW01A-JSM","DW01A"
"TPS63001","D8","TPS6300x","1","https://www.lcsc.com/product-detail/C28060.html","Texas Instruments","TPS63001DRCR","TPS63001"
"TPL730ADJ-5TL","D9, D17, D18","SOT-23-5","3","https://www.lcsc.com/product-detail/C2690181.html","3PEAK","TPL730ADJ-5TR","TPL730ADJ-5TR"
"ICM-45686","D10, D12","ICM-42688-P_LGA-14_3x2.5mm","2","","TDK InvenSense","ICM-45686","ICM-45686"
"16GB eMMC 5.1 FBGA-153 Memory (ICs) RoHS","D11","eMMC_13x11.5mm","1","https://www.lcsc.com/product-detail/C3002775.html","HYNIX","H26M51002KPR","H26M51002KPR"
"NRF24L01P-R","D13","QFN-20_4x4mm","1","https://www.lcsc.com/product-detail/C8791.html","Nordic Semicomductor","NRF24L01P-R","NRF24L01"
"OK7EL89CJI-111YLC-32.768K","D14","OSC: 2016","1","https://www.lcsc.com/product-detail/C7425462.html","YXC Crystal Oscillators","OK7EL89CJI-111YLC-32.768K","32kHz"
"BMP388","D15","BMP388_LGA-10_2x2mm","1","https://www.lcsc.com/product-detail/C779278.html","Bosch","BMP388","BMP388"
"SN74HC595PWR","D16","TSSOP-16","1","https://www.lcsc.com/product-detail/C273642.html","Texas Instruments","SN74HC595PWR","74HC595"
"GS2011AG-G","HL1","LED_7SEG_SMD","1","https://www.lcsc.com/product-detail/C22462633.html","Guangcai Display","GS2011AG-G","GS2011AG-G"
"12A 1uH ±20% 7.4m? 15A Molded Inductor SMD,7x6.6mm Fixed Inductors RoHS","L1, L2","Inductor_APH0630","2","https://www.lcsc.com/product-detail/C5349700.html","APV","APH0630T1R0M","1?"
"1.55A 4.7uH ±20% 1.9A 196m? Magnetic Shielded Inductor 1008 Fixed Inductors RoHS","L3","Inductor_1008","1","https://www.lcsc.com/product-detail/C5179447.html","cjiang","FWP252012P-4R7ML","4,7?"
"Inductor, 600?@100MHz, ±10%, 0603","L4, L9","IND: 0603","2","","","","600?@100MHz"
"3A 2.2uH ±20% 55m? 3.8A 1008 Fixed Inductors RoHS","L5","Inductor_1008","1","https://www.lcsc.com/product-detail/C5832372.html","cjiang","FTC252012S2R2MBCA","2,2?"
"Inductor, 3900, ±10%, 0402","L6","IND: 0402","1","","","","3900"
"Inductor, 8200, ±10%, 0402","L7","IND: 0402","1","","","","8200"
"Inductor, 2700, ±10%, 0402","L8","IND: 0402","1","","","","2700"
"Resistor, 470k, ±1%, 0402","R1, R7","RES: 0402","2","","","","470k"
"Resistor, 118k, ±1%, 0402","R2, R8","RES: 0402","2","","","","118k"
"Resistor, 28,7k, ±1%, 0402","R3, R9","RES: 0402","2","","","","28,7k"
"Resistor, 267k, ±1%, 0402","R4, R10","RES: 0402","2","","","","267k"
"Resistor, 124k, ±1%, 0402","R5, R11","RES: 0402","2","","","","124k"
"Resistor, 10k, ±1%, 0402","R6, R12, R13, R14, R17, R31, R33, R34, R35, R36, R41, R48, R50, R69, R72, R73, R75, R79, R80, R82","RES: 0402","20","","","","10k"
"Resistor, 0.016, ±1%, 1206","R15, R16, R18","RES: 1206","3","","","","0.016"
"Resistor, 0, ±1%, 0805","R19, R20, R21, R23","RES: 0805","4","","","","0"
"Resistor, 1k, ±1%, 0402","R22, R25, R27, R29, R40, R43, R51, R52, R53, R54, R55, R56, R57, R58, R68, R71","RES: 0402","16","","[NoValue], Yageo","","1k"
"Resistor, 5,1k, ±1%, 0402","R24, R26, R38, R39, R67, R70, R76, R77","RES: 0402","8","","","","5,1k"
"Resistor, 100, ±1%, 0402","R28","RES: 0402","1","","","","100"
"Resistor, 100, ±1%, 0805","R30","RES: 0805","1","","","","100"
"Resistor, 30,9k, ±1%, 0402","R32","RES: 0402","1","","","","30,9k"
"Resistor, 2M, ±1%, 0402","R37","RES: 0402","1","","","","2M"
"Resistor, 130, ±1%, 0402","R42, R59, R60, R61, R63","RES: 0402","5","","","","130"
"Resistor array (4), 33, ±1%, 0402","R44, R46, R62, R64, R65, R66","RES: Array 4x0402","6","","","","33"
"Resistor, 33, ±1%, 0402","R45, R47, R78","RES: 0402","3","","","","33"
"Resistor, 22k, ±1%, 0402","R49","RES: 0402","1","","","","22k"
"Resistor, 24,9k, ±1%, 0402","R74","RES: 0402","1","","","","24,9k"
"Resistor, 8,87k, ±1%, 0402","R81","RES: 0402","1","","","","8,87k"
"Tactile Switch SPST 400gf 2.5mm 4.2mm x 3.2mm Surface Mount","SW1, SW2, SW3, SW4","Button_4.2x2.3mm","4","https://www.lcsc.com/product-detail/C843674.html","G-Switch","GT-TC048D-H025-L1",""
"D1213A-01T","VD1, VD2, VD3, VD4, VD5, VD6, VD7, VD8, VD18, VD19, VD20, VD21, VD22, VD23, VD24, VD25, VD26","SOD-523","17","https://www.lcsc.com/product-detail/C460584.html","Diodes","D1213A-01T-7","D1213A-01T-7"
"1 Independent 30V 420mV@1A 1A PowerDI-123 Single Diodes RoHS","VD9, VD10","PowerDI-123","2","https://www.lcsc.com/product-detail/C150474.html","DIODES","DFLS130-7","DFLS130-7"
"LED_0603_Y","VD11, VD13, VD15","LED: 0603Y","3","https://www.lcsc.com/product-detail/C2837010.html","TOGIALED","TJ-S1608CY6T5ALC9Y-A5","LED"
"Red 625nm LED Indication - Discrete 2.3V 0603","VD12","LED: 0603Y","1","https://www.lcsc.com/product-detail/C965799.html","XINGLIGHT","XL-1608SURC-06","LED"
"451nm LED Indication - Discrete 2.9V 0603","VD14","LED: 0603Y","1","https://www.lcsc.com/product-detail/C3011232.html","TUOZHAN","TZ0603W3G-001/2#","LED"
"Ice Blue LED Indication - Discrete 2.8V~3.3V 0603","VD16","LED: 0603Y","1","https://www.lcsc.com/product-detail/C5355458.html","Amicc","A-SP192GB1D-A02-4T","LED"
"Emerald Green 525nm LED Indication - Discrete 3.3V 0603","VD17","LED: 0603Y","1","https://www.lcsc.com/product-detail/C965804.html","XINGLIGHT","XL-1608UGC-04","LED"
"Diode Independent 75V 150mA Surface Mount SOD-523","VD27","SOD-523","1","https://www.lcsc.com/product-detail/C917006.html","JSMSEMI","1N4148WT","1N4148WT"
"TM30N03ADF","VT1, VT2, VT3, VT4, VT5","TM30N03ADF","5","https://www.lcsc.com/product-detail/C7422839.html","Tritech-MOS","TM30N03ADF","TM30N03ADF"
"N-Channel 60V 380mA 540mW Surface Mount SOT-23","VT6, VT7, VT8","SOT-23","3","https://www.lcsc.com/product-detail/C85047.html","Diodes","2N7002K-7","2N7002"
"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount","X10","CON: TYPE-C-31-M-12","1","https://www.lcsc.com/product-detail/C7395062.html","HDGC","TYPE C-DB-116PWB",""
"Connector Receptacle IPEX Male Pin 50? Surface Mount","X13","Conn_IPEX_ANTENNA","1","https://www.lcsc.com/product-detail/C88374.html","HRS","U.FL-R-SMT-1(80)","IPEX Antenna"
"Connector_OV5640","X14","OV5640_CONNECTOR","1","https://www.lcsc.com/product-detail/C2797213.html","kinghelm","KH-FG0.5-H2.0-24PIN","OV5640"
"Connector, 2pin, 2.5 mm, 250V, 3A","X15","CONN_5x10_1.27ěě_NO_SOLDERING","1","https://www.digikey.com/product-detail/en/jst-sales-america-inc/B2B-EH-A-LF-SN/455-1611-ND/926520","JST","",""
"Connector_JST_XH_B2B-XH-A_1x02_2.50mm","X16, X17","CONN_JST_XH_B2B-XH-A_1x02_P2.50mm","2","","","",""
"Connector Header 4 position 1.25mm Pitch","X18","CONN_JST_GH_SM04B","1","https://www.lcsc.com/product-detail/C225127.html","CJT(Changjiang Connectors)","A1257WR-S-4P","""AH3 conn."""
"Crystal_XL7EL89CKI-111YLC-24M","Z1","OSC: 2016","1","https://www.lcsc.com/product-detail/C2965580.html","YXC Crystal Oscillators","XL7EL89CKI-111YLC-24M","24 ĚĂö"
"Crystal 16MHz ±10ppm 12pF SMD2016-4P","Z2","OSC: 2016","1","https://www.lcsc.com/product-detail/C2965579.html","YXC Crystal Oscillators","XL7EL89COI-111YLC-16M","16 ĚĂö"
